"filename", "language", "YAML", "JSON", "Markdown", "Dart", "Groovy", "Properties", "HTML", "XML", "Swift", "C++", "comment", "blank", "total"
"/Users/hazret/Documents/GitHub/biren/lib/features/home/view/homeworks/homeworks_view.dart", "Dart", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 6, 79
"/Users/hazret/Documents/GitHub/biren/lib/features/home/view/homeworks/missing_homeworks_view.dart", "Dart", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 7, 61
"/Users/hazret/Documents/GitHub/biren/lib/features/home/view/homeworks/pushed_homeworks_view.dart", "Dart", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 4, 56
"/Users/hazret/Documents/GitHub/biren/lib/features/loading/loading_view.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/hazret/Documents/GitHub/biren/lib/features/reject/rejected_view.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/hazret/Documents/GitHub/biren/lib/features/wait/waiting_view.dart", "Dart", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 4, 46
"/Users/hazret/Documents/GitHub/biren/lib/firebase_options.dart", "Dart", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 12, 5, 76
"/Users/hazret/Documents/GitHub/biren/lib/main.dart", "Dart", 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 7, 121
"/Users/hazret/Documents/GitHub/biren/lib/product/constants/app_constants.dart", "Dart", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 2, 7
"/Users/hazret/Documents/GitHub/biren/lib/product/constants/firestore_field_constants.dart", "Dart", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 37
"/Users/hazret/Documents/GitHub/biren/lib/product/enum/admin_feature_types.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/hazret/Documents/GitHub/biren/lib/product/enum/cross_check_enum.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/hazret/Documents/GitHub/biren/lib/product/enum/firebase_collection_enum.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/hazret/Documents/GitHub/biren/lib/product/enum/homework_type_enum.dart", "Dart", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/hazret/Documents/GitHub/biren/lib/product/gen/assets.gen.dart", "Dart", 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 22, 32, 166
"/Users/hazret/Documents/GitHub/biren/lib/product/gen/fonts.gen.dart", "Dart", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 8, 4, 16
"/Users/hazret/Documents/GitHub/biren/lib/product/init/lang/language_manager.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/Users/hazret/Documents/GitHub/biren/lib/product/init/lang/locale_keys.g.dart", "Dart", 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 2, 3, 147
"/Users/hazret/Documents/GitHub/biren/lib/product/init/theme/light_theme_colors.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/hazret/Documents/GitHub/biren/lib/product/init/theme/theme.dart", "Dart", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 8, 103
"/Users/hazret/Documents/GitHub/biren/lib/product/init/theme/typography.dart", "Dart", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 3, 62
"/Users/hazret/Documents/GitHub/biren/lib/product/init/validation/regex_validations.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/hazret/Documents/GitHub/biren/lib/product/model/announcement_card_model.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/hazret/Documents/GitHub/biren/lib/product/model/attendance_model.dart", "Dart", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 5, 40
"/Users/hazret/Documents/GitHub/biren/lib/product/model/homework_model.dart", "Dart", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 6, 45
"/Users/hazret/Documents/GitHub/biren/lib/product/model/user_model.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 1, 4, 32
"/Users/hazret/Documents/GitHub/biren/lib/product/widget/admin/admin_homework_card.dart", "Dart", 0, 0, 0, 218, 0, 0, 0, 0, 0, 0, 0, 19, 237
"/Users/hazret/Documents/GitHub/biren/lib/product/widget/admin/admin_select_feature.dart", "Dart", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 7, 109
"/Users/hazret/Documents/GitHub/biren/lib/product/widget/admin/cross_check_container.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 4, 37
"/Users/hazret/Documents/GitHub/biren/lib/product/widget/button/done_action_button.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"/Users/hazret/Documents/GitHub/biren/lib/product/widget/button/main_button.dart", "Dart", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 5, 64
"/Users/hazret/Documents/GitHub/biren/lib/product/widget/button/next_action_button.dart", "Dart", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/Users/hazret/Documents/GitHub/biren/lib/product/widget/card/admin_features_select_widget.dart", "Dart", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 4, 53
"/Users/hazret/Documents/GitHub/biren/lib/product/widget/card/announcement_card.dart", "Dart", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 4, 115
"/Users/hazret/Documents/GitHub/biren/lib/product/widget/card/homework_card_large.dart", "Dart", 0, 0, 0, 223, 0, 0, 0, 0, 0, 0, 0, 15, 238
"/Users/hazret/Documents/GitHub/biren/lib/product/widget/card/homework_card_mini.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/hazret/Documents/GitHub/biren/lib/product/widget/card/marked_homework_card.dart", "Dart", 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 17, 150
"/Users/hazret/Documents/GitHub/biren/lib/product/widget/drawer/homework_drawer.dart", "Dart", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 5, 96
"/Users/hazret/Documents/GitHub/biren/lib/product/widget/text_field/auth_text_field.dart", "Dart", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 8, 82
"/Users/hazret/Documents/GitHub/biren/lib/product/widget/text_field/main_text_field.dart", "Dart", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 4, 54
"/Users/hazret/Documents/GitHub/biren/pubspec.yaml", "YAML", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16, 84
"/Users/hazret/Documents/GitHub/biren/test/widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"/Users/hazret/Documents/GitHub/biren/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 16, 18, 132
"/Users/hazret/Documents/GitHub/biren/web/manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"Total", "-", 65, 991, 26, 6576, 107, 8, 98, 173, 19, 1, 159, 750, 8973
