"filename", "language", "Dart", "HTML", "YAML", "JSON", "Properties", "Groovy", "Markdown", "XML", "C++", "Swift", "comment", "blank", "total"
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\mixin\student_edit_operation_mixin.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\student_edit_view.dart", "Dart", 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 153
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\students_view.dart", "Dart", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 49
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\viewmodel\add_announcement_viewmodel.dart", "Dart", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 26
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\viewmodel\add_announcement_viewmodel.g.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 60
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\viewmodel\admin_home_viewmodel.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 18
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\viewmodel\admin_home_viewmodel.g.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 19
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\login\view\login_view.dart", "Dart", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 137
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\login\viewmodel\login_viewmodel.dart", "Dart", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 43
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\login\viewmodel\login_viewmodel.g.dart", "Dart", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 44
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\register\view\register_view.dart", "Dart", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 155
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\register\viewmodel\register_viewmodel.dart", "Dart", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 31
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\register\viewmodel\register_viewmodel.g.dart", "Dart", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 33
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\service\auth_service.dart", "Dart", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 107
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\home\view\home_view.dart", "Dart", 246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 262
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\home\view\homeworks\check_homework_view.dart", "Dart", 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 160
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\home\view\homeworks\homeworks_view.dart", "Dart", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\home\view\homeworks\pushed_homeworks_view.dart", "Dart", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\home\viewmodel\home_viewmodel.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\home\viewmodel\home_viewmodel.g.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 19
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\loading\loading_view.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\reject\rejected_view.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\wait\waiting_view.dart", "Dart", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"c:\Users\oguzk\Documents\GitHub\biren\lib\gen\assets.gen.dart", "Dart", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 31, 152
"c:\Users\oguzk\Documents\GitHub\biren\lib\main.dart", "Dart", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 84
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\base\model\base_view_model.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\base\view\base_view.dart", "Dart", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 44
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\constants\app_constants.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\enum\admin_feature_types.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\enum\cross_check_enum.dart", "Dart", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\enum\firebase_collection_enum.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
